t_begin,soc begin[%],power[W]
2016-09-03 00:00:00,0.009908569834073696,-0.9338606908670684
2016-09-03 00:01:00,0.009498981811763578,-0.8952579310045466
2016-09-03 00:02:00,0.009106324824480882,-0.8582508833867835
2016-09-03 00:03:00,0.008729898998434047,-0.8227735864876108
2016-09-03 00:04:00,0.008369033390325445,-0.7887628054127587
2016-09-03 00:05:00,0.008023084791460201,-0.7561579191930375
2016-09-03 00:06:00,0.007691436581287816,-0.7249008127257598
2016-09-03 00:07:00,0.007373497628337921,-0.6949357731985367
2016-09-03 00:08:00,0.007068701236584177,-0.6662093907816307
2016-09-03 00:09:00,0.0067765041353641635,-0.6386704634356499
2016-09-03 00:10:00,0.006496385511050282,-0.6122699056407487
2016-09-03 00:11:00,0.006227846078751709,-0.5869606609161058
2016-09-03 00:12:00,0.005970407192384996,-0.5626976179371724
2016-09-03 00:13:00,0.005723609991535358,-0.5394375301354493
2016-09-03 00:14:00,0.005487014583581214,-0.5171389386162608
2016-09-03 00:15:00,0.0052601992596267135,-0.49576209825730494
2016-09-03 00:16:00,0.0050427597428471934,-0.47526890687007445
2016-09-03 00:17:00,0.004834308467904178,-0.4556228372869265
2016-09-03 00:18:00,0.004634473890146754,-0.4367888722525665
2016-09-03 00:19:00,0.004442899823369313,-0.4187334420120349
2016-09-03 00:20:00,0.004259244804942982,-0.4014243644732906
2016-09-03 00:21:00,0.004083181487191539,46.74101607635534
2016-09-03 00:22:00,0.022584833684082196,-2.128570248937963
2016-09-03 00:23:00,0.021651250241565546,-2.0405821036466216
2016-09-03 00:24:00,0.020756258090843343,-1.9562310993931107
2016-09-03 00:25:00,0.019898261994618294,-1.8753668889029915
2016-09-03 00:26:00,0.01907573265738014,-1.7978453397353522
2016-09-03 00:27:00,0.01828720399960148,-1.7235282773832281
2016-09-03 00:28:00,0.017531270544608835,-1.6522832389976874
2016-09-03 00:29:00,0.016806584913469497,-1.583983237285332
2016-09-03 00:30:00,0.016111855423432072,-1.5185065341762545
2016-09-03 00:31:00,0.015445843785635469,-1.455736423834179
