t_begin,soc begin[%],power[W]
2016-09-02 12:45:00,86.19570783605708,1094.7421903275688
2016-09-02 12:46:00,86.62904328639507,1223.448435275992
2016-09-02 12:47:00,87.11332495869182,-325.8172207228623
2016-09-02 12:48:00,86.9704226689011,-550.9653344009184
2016-09-02 12:49:00,86.72877120644455,-768.0471869408249
2016-09-02 12:50:00,86.39190840515471,-631.0925869747806
2016-09-02 12:51:00,86.11511341086752,988.733616819184
2016-09-02 12:52:00,86.50648713419179,432.4446756336442
2016-09-02 12:53:00,86.6776631516301,1219.2630631355685
2016-09-02 12:54:00,87.16028811412126,1177.5642901271965
2016-09-02 12:55:00,87.6264073122966,1137.0345343404542
2016-09-02 12:56:00,88.07648348213971,1097.6682771804933
2016-09-02 12:57:00,88.51097717519032,1059.456681864579
2016-09-02 12:58:00,88.93034544509504,1022.3880047131892
2016-09-02 12:59:00,89.33504069696068,318.44315454948
2016-09-02 13:00:00,89.46109111230318,251.23865082041172
2016-09-02 13:01:00,89.5605397449196,-662.5197333723222
2016-09-02 13:02:00,89.26996091449314,-974.0234221585176
2016-09-02 13:03:00,88.84275765916045,529.9948740032543
2016-09-02 13:04:00,89.05254729678674,1011.5526980908978
2016-09-02 13:05:00,89.45295357311439,975.9461542751022
2016-09-02 13:06:00,89.83926559251495,941.4465256201428
2016-09-02 13:07:00,90.21192150890626,908.0350006909499
2016-09-02 13:08:00,90.57135203001309,875.6912762986119
2016-09-02 13:09:00,90.9179798268813,844.3938120119432
2016-09-02 13:10:00,91.25221904413603,814.1200597451317
2016-09-02 13:11:00,91.57447490111848,784.8466700854402
2016-09-02 13:12:00,91.88514337469397,756.5496770203414
2016-09-02 13:13:00,92.18461095518118,729.2046626944044
2016-09-02 13:14:00,92.47325446749772,702.786903778326
2016-09-02 13:15:00,92.7514409502433,677.2715009706425
2016-09-02 13:16:00,93.01952758604419,334.97704323451205
2016-09-02 13:17:00,93.15212266565786,640.4303673238317
2016-09-02 13:18:00,93.40562635272354,617.0689033438622
2016-09-02 13:19:00,93.6498827936305,594.5225735021069
2016-09-02 13:20:00,93.88521464564175,572.7669092739529
2016-09-02 13:21:00,94.11193488056269,551.7777380845488
2016-09-02 13:22:00,94.33034690188782,531.5312347770404
2016-09-02 13:23:00,94.5407446823204,512.0039650924396
2016-09-02 13:24:00,94.74341291850281,493.1729220019763
2016-09-02 13:25:00,94.9386272001286,475.01555566112694
2016-09-02 13:26:00,95.12665419091113,457.50979768692866
2016-09-02 13:27:00,95.3077518191622,440.6340803968473
2016-09-02 13:28:00,95.48216947598596,424.36735158842913
2016-09-02 13:29:00,95.65014821932304,408.68908538423034
2016-09-02 13:30:00,95.81192098228763,393.5792896158062
2016-09-02 13:31:00,95.96771278442722,379.0185101739824
2016-09-02 13:32:00,96.11774094470442,364.9878327097644
2016-09-02 13:33:00,96.26221529515203,351.46888203109916
2016-09-02 13:34:00,96.40133839428934,338.44381950488645
2016-09-02 13:35:00,96.53530573951002,325.8953387410983
2016-09-02 13:36:00,96.66430597776171,313.8066598062172
2016-09-02 13:37:00,96.788521113935,302.161522186385
2016-09-02 13:38:00,96.90812671646711,290.94417669632963
2016-09-02 13:39:00,97.02329211974273,280.13937650819446
2016-09-02 13:40:00,97.1341806229439,269.7323674545669
2016-09-02 13:41:00,97.24094968506134,259.70887774218636
2016-09-02 13:42:00,97.34375111583428,250.0551071967436
2016-09-02 13:43:00,97.44273126243299,240.75771614478916
2016-09-02 13:44:00,97.5380311917403,231.80381402587108
2016-09-02 13:45:00,97.62978686812555,223.18094781639846
2016-09-02 13:46:00,97.7181293266362,214.87709033643705
2016-09-02 13:47:00,97.80318484156105,206.88062850137763
2016-09-02 13:48:00,97.88507509034284,199.18035157216397
2016-09-02 13:49:00,97.96391731284015,191.76543945044267
2016-09-02 13:50:00,98.03982446595596,184.6254510584716
2016-09-02 13:51:00,98.1129053736666,177.75031283778577
2016-09-02 13:52:00,98.18326487249823,171.1303073955049
2016-09-02 13:53:00,98.25100395250895,164.75606232260265
2016-09-02 13:54:00,98.31621989384499,158.61853920440083
2016-09-02 13:55:00,98.37900639894673,-139.08492087705355
2016-09-02 13:56:00,98.31800424066732,-424.555183182029
2016-09-02 13:57:00,98.131795826991,175.97302619095055
2016-09-02 13:58:00,98.20145181652491,169.41899150256043
2016-09-02 13:59:00,98.26851350066134,163.10829193049116
2016-09-02 14:00:00,98.3330771995505,157.03197568097636
2016-09-02 14:01:00,98.39523568992422,151.1814113563529
2016-09-02 14:02:00,98.45507833191944,145.54827745789268
2016-09-02 14:03:00,98.51269119174653,140.1245521244372
2016-09-02 14:04:00,98.56815716029578,134.90250311463717
2016-09-02 14:05:00,98.62155606777866,129.87467803857132
2016-09-02 14:06:00,98.67296479450226,125.03389484269603
2016-09-02 14:07:00,98.7224573778775,120.37323255056067
2016-09-02 14:08:00,98.7701051157621,115.88602226034354
2016-09-02 14:09:00,98.81597666624016,111.56583839909511
2016-09-02 14:10:00,98.8601381439398,107.40649023259923
2016-09-02 14:11:00,98.90265321299022,103.40201362887416
2016-09-02 14:12:00,98.9435831767183,99.54666307260997
2016-09-02 14:13:00,98.98298706418454,95.83490392721055
2016-09-02 14:14:00,99.02092171365572,92.26140494062112
2016-09-02 14:15:00,99.05744185311138,88.82103099063526
2016-09-02 14:16:00,99.09260017787851,85.50883606506744
2016-09-02 14:17:00,99.1264474254876,82.32005647186284
2016-09-02 14:18:00,99.15903244784104,79.2501042739982
2016-09-02 14:19:00,99.19040228078283,76.29456094385196
2016-09-02 14:20:00,99.22060221115645,73.44917123158572
2016-09-02 14:21:00,99.24967584143562,70.70983724200241
2016-09-02 14:22:00,99.27766515201057,68.07261271427133
2016-09-02 14:23:00,99.30461056120997,65.53369749891381
